respondent_id,age,gender,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
R268,46-55,Male,Secondary,4,5,5,5,4,3,2,1,4,1,5,4,4,3,4,2,1,3
R269,18-25,Male,Tertiary,3,2,3,2,4,2,1,4,4,3,5,3,1,4,2,1,2,1
R270,55+,Female,Secondary,5,3,5,3,3,2,4,2,1,2,1,4,5,4,4,2,3,4
R271,46-55,Male,Secondary,3,4,2,1,1,1,4,1,1,5,5,4,2,1,4,3,2,4
R272,26-35,Female,Secondary,4,5,4,4,1,1,4,5,5,5,5,5,2,2,2,1,3,3
R273,36-45,Female,Secondary,1,2,1,1,5,4,4,2,4,2,1,4,2,2,1,3,3,3
R274,55+,Female,Postgraduate,1,3,4,5,5,2,1,5,4,3,3,4,5,5,1,1,1,4
R275,26-35,Female,Tertiary,2,1,1,1,1,4,1,3,4,1,1,2,3,3,4,3,3,4
R276,55+,Male,Tertiary,5,4,4,3,3,1,1,3,3,4,3,2,3,2,4,2,1,3
R277,46-55,Male,Tertiary,3,4,3,3,2,1,4,3,3,4,4,2,4,5,1,4,5,3
R278,18-25,Female,Tertiary,2,3,2,1,4,1,4,5,4,2,3,4,3,1,2,5,4,3
R279,55+,Male,Postgraduate,5,1,2,3,1,1,2,3,1,5,4,2,4,5,5,5,2,3
R280,26-35,Male,Postgraduate,1,1,4,5,5,2,3,2,2,2,3,1,5,5,4,5,2,3
R281,26-35,Male,Secondary,5,2,4,5,2,3,3,2,5,1,5,4,1,5,3,5,1,1
R282,36-45,Female,Tertiary,5,5,1,4,5,2,5,2,1,2,1,5,4,5,2,3,4,1
R283,26-35,Male,Postgraduate,2,3,2,2,2,5,1,1,3,3,3,2,1,5,5,1,3,2
R284,55+,Female,Tertiary,4,4,4,4,2,1,1,2,4,2,4,4,5,2,4,5,1,3
R285,26-35,Male,Postgraduate,4,4,4,4,1,4,4,4,2,1,2,3,2,2,1,1,4,3
R286,18-25,Male,Postgraduate,1,1,5,3,1,4,4,4,5,1,2,2,1,3,3,3,3,5
R287,26-35,Male,Postgraduate,5,4,4,1,1,5,5,2,3,3,1,4,1,1,3,5,3,1
R288,18-25,Male,Postgraduate,3,4,5,5,2,4,1,1,3,5,2,3,4,2,4,3,4,5
R289,26-35,Female,Tertiary,2,2,3,2,1,5,1,2,3,5,4,5,2,3,5,1,1,1
R290,18-25,Female,Tertiary,3,5,5,2,1,1,3,1,5,3,1,5,3,3,2,2,3,5
R291,18-25,Male,Postgraduate,2,5,3,5,2,1,2,4,1,5,5,2,5,4,3,1,5,4
R292,18-25,Male,Postgraduate,5,4,5,4,3,3,2,1,2,2,3,3,4,4,3,4,1,4
R293,55+,Female,Postgraduate,3,4,1,1,2,2,3,5,5,4,3,3,3,2,1,4,1,1
R294,55+,Female,Tertiary,2,1,3,1,3,1,2,4,1,5,3,3,3,2,4,4,3,2
R295,46-55,Female,Secondary,1,3,3,4,4,1,2,4,5,1,3,5,2,1,1,3,5,1
R296,18-25,Female,Postgraduate,3,2,1,3,5,2,5,5,4,3,4,2,3,4,2,3,5,4
R297,36-45,Female,Tertiary,3,3,4,4,3,1,1,4,4,2,1,4,4,2,1,5,2,3
R298,18-25,Male,Postgraduate,2,5,3,1,5,3,1,4,1,3,2,5,3,5,5,2,3,2
R299,46-55,Female,Secondary,1,4,3,2,2,5,2,4,5,3,4,3,1,2,3,4,4,2
R300,18-25,Male,Secondary,2,3,3,5,4,3,4,5,4,4,2,3,3,5,2,2,1,2
R301,55+,Female,Tertiary,5,3,5,2,4,2,2,5,5,5,1,1,3,4,1,4,4,1
R302,18-25,Female,Postgraduate,1,5,4,5,2,2,1,2,2,1,1,4,2,5,2,4,2,3
R303,46-55,Female,Secondary,2,5,4,3,2,1,4,4,3,5,5,4,2,1,5,4,3,2
R304,55+,Female,Postgraduate,1,2,3,3,1,5,5,5,5,1,3,5,1,3,3,2,1,1
R305,18-25,Male,Postgraduate,2,3,4,4,3,2,5,3,3,4,2,1,5,5,5,2,4,4
R306,46-55,Female,Postgraduate,2,1,3,1,5,4,5,3,1,4,2,4,2,2,5,1,1,5
R307,36-45,Male,Tertiary,1,3,2,4,2,5,5,4,1,3,1,5,1,1,2,3,2,1
R308,18-25,Female,Secondary,1,3,2,1,1,5,3,5,5,4,1,3,1,4,5,3,1,2
R309,36-45,Male,Secondary,1,5,4,5,4,3,4,3,5,2,3,2,3,3,4,4,2,1
R310,26-35,Male,Secondary,1,5,4,1,1,1,4,3,5,1,5,2,1,2,5,1,4,2
R311,26-35,Female,Postgraduate,5,3,5,4,4,1,1,5,5,2,4,5,5,1,1,1,1,3
R312,36-45,Male,Secondary,4,5,1,5,3,5,1,5,3,2,2,3,1,3,4,5,2,5
R313,55+,Female,Tertiary,3,3,5,2,5,4,1,3,3,2,1,1,4,5,3,3,5,4
R314,18-25,Female,Postgraduate,4,1,3,2,3,4,3,5,4,4,3,1,3,4,1,2,1,1
R315,26-35,Male,Secondary,1,2,1,1,4,5,5,2,4,5,1,5,2,3,5,3,4,2
R316,55+,Male,Postgraduate,1,3,2,3,5,3,3,3,3,3,4,1,2,4,3,4,3,4
R317,26-35,Male,Postgraduate,5,3,3,5,4,1,3,3,3,1,4,1,2,3,2,4,3,5
R318,18-25,Female,Postgraduate,4,5,3,3,1,1,2,2,2,1,1,4,3,1,2,3,3,2
R319,36-45,Female,Postgraduate,4,3,5,4,2,3,5,1,3,2,5,5,4,1,2,2,3,2
R320,26-35,Male,Tertiary,1,5,1,1,1,3,1,2,5,5,1,5,5,4,2,3,2,3
R321,18-25,Female,Tertiary,3,5,3,2,4,3,3,4,4,4,5,2,4,5,2,2,4,1
R322,46-55,Male,Tertiary,3,1,2,2,4,5,4,3,5,2,1,4,4,4,4,3,1,3
R323,26-35,Male,Tertiary,2,2,2,2,1,3,5,5,2,1,5,3,5,4,2,2,1,5
R324,26-35,Male,Secondary,5,2,3,5,1,2,1,5,5,2,4,2,1,5,2,2,4,2
R325,26-35,Male,Secondary,2,5,4,3,2,1,1,3,5,3,4,5,4,1,2,5,2,5
R326,18-25,Female,Tertiary,2,3,4,5,3,2,5,3,3,1,1,3,3,4,2,2,3,4
R327,18-25,Female,Postgraduate,3,2,5,3,1,3,3,1,1,4,5,4,1,2,5,5,1,3
R328,55+,Male,Postgraduate,5,1,3,1,1,1,2,3,4,5,1,5,2,2,1,3,3,5
R329,46-55,Female,Tertiary,5,1,2,3,3,5,4,3,3,3,3,1,1,4,4,4,3,2
R330,36-45,Male,Secondary,4,2,1,2,5,2,5,1,1,1,3,1,4,5,4,5,2,1
R331,46-55,Male,Tertiary,1,4,4,1,1,5,3,4,2,4,4,1,5,3,3,2,3,2
R332,36-45,Male,Tertiary,2,3,2,4,1,1,3,5,4,1,4,5,4,2,5,5,5,4
R333,18-25,Female,Secondary,2,5,1,5,1,4,4,3,4,3,1,5,3,5,4,4,3,4
R334,46-55,Female,Postgraduate,3,3,1,5,3,3,1,4,3,4,1,3,1,5,4,3,2,2
R335,18-25,Male,Secondary,2,2,2,5,2,5,3,1,5,5,1,3,1,4,1,2,3,4
R336,46-55,Male,Tertiary,2,1,5,1,4,2,1,3,2,1,5,4,3,5,1,3,1,3
R337,46-55,Male,Secondary,1,5,1,4,4,5,5,3,1,5,4,1,3,2,3,2,4,1
R338,55+,Female,Secondary,5,5,1,1,4,3,5,1,2,4,4,3,1,4,2,4,1,2
R339,36-45,Female,Tertiary,4,4,4,5,2,3,5,3,1,3,3,1,4,3,2,1,1,3
R340,55+,Male,Tertiary,4,3,1,4,5,2,1,5,1,2,2,1,1,1,3,5,3,1
R341,26-35,Male,Secondary,2,5,3,3,4,1,1,1,1,3,1,5,5,4,3,3,1,5
R342,55+,Female,Tertiary,2,2,4,3,2,5,4,3,2,2,2,2,1,2,5,5,4,3
R343,18-25,Female,Postgraduate,4,2,4,2,2,2,1,2,4,5,2,2,3,2,2,1,1,2
R344,26-35,Male,Tertiary,3,2,4,2,4,5,2,5,1,1,2,5,5,2,1,3,3,5
R345,26-35,Female,Secondary,5,1,5,5,1,3,3,4,3,2,4,4,4,2,2,2,3,1
R346,18-25,Female,Postgraduate,4,4,3,4,3,2,2,2,5,3,2,3,1,3,4,1,5,1
R347,26-35,Male,Secondary,2,4,1,2,3,2,3,1,2,1,2,5,1,3,4,1,2,1
R348,46-55,Female,Tertiary,5,1,4,2,3,3,3,5,4,5,4,1,4,3,2,5,5,4
R349,55+,Female,Secondary,4,2,3,2,3,1,1,1,4,3,3,5,1,2,3,2,5,4
R350,36-45,Male,Postgraduate,5,3,2,1,3,1,2,4,3,3,5,1,1,1,5,2,3,5
R351,36-45,Male,Tertiary,2,5,4,4,1,3,3,1,4,1,1,1,2,2,3,4,5,5
R352,46-55,Female,Tertiary,3,5,5,2,2,5,5,1,5,3,3,2,5,4,1,1,4,1
R353,36-45,Male,Secondary,4,1,3,3,5,2,2,5,5,1,5,4,3,1,3,3,4,5
R354,55+,Male,Tertiary,4,1,1,1,5,1,2,3,4,4,5,2,4,3,5,2,5,2
R355,46-55,Female,Postgraduate,3,4,1,1,3,3,5,5,2,5,4,2,5,1,3,3,5,2
R356,18-25,Female,Postgraduate,4,5,3,5,2,1,2,4,5,5,5,1,2,1,4,4,2,3
R357,18-25,Male,Tertiary,5,4,3,5,1,4,4,2,3,4,4,3,2,4,5,4,4,1
R358,46-55,Male,Secondary,4,4,2,5,4,4,4,5,5,2,5,5,1,2,1,4,1,5
R359,46-55,Female,Tertiary,2,1,5,5,4,2,5,4,3,2,4,1,4,5,4,3,3,4
R360,55+,Female,Postgraduate,3,1,5,5,3,4,1,1,4,2,3,2,2,3,1,5,4,4
R361,26-35,Female,Postgraduate,2,2,1,4,2,3,2,2,2,3,1,4,5,5,5,2,3,2
R362,36-45,Female,Secondary,4,2,2,1,4,1,4,4,3,4,2,5,1,4,1,5,3,3
R363,18-25,Female,Secondary,5,1,5,4,5,5,4,5,4,5,2,4,3,5,5,5,3,5
R364,36-45,Male,Tertiary,2,1,4,2,2,1,4,2,4,4,1,5,1,5,3,5,5,5
R365,46-55,Female,Tertiary,5,2,4,1,1,5,5,5,3,5,5,1,4,1,3,3,5,4
R366,26-35,Male,Tertiary,3,2,2,3,4,2,2,5,2,4,4,2,2,1,3,2,5,1
R367,36-45,Female,Postgraduate,2,5,3,4,3,3,5,2,2,5,2,5,2,3,1,3,5,5
R368,26-35,Male,Secondary,1,2,4,3,1,4,2,2,2,5,4,1,5,2,4,1,2,4
R369,36-45,Male,Tertiary,3,1,1,5,1,5,5,4,5,3,4,4,1,1,1,3,2,5
R370,55+,Male,Secondary,3,5,5,1,3,3,5,4,4,1,4,2,2,3,1,1,4,5
R371,18-25,Female,Secondary,5,4,5,3,3,3,1,2,4,4,5,2,3,4,1,1,1,5
R372,26-35,Male,Postgraduate,4,2,3,5,5,4,4,4,5,2,1,3,1,2,4,4,2,5
R373,18-25,Female,Tertiary,3,2,5,2,1,1,5,3,5,3,3,3,1,1,4,2,1,4
R374,18-25,Male,Postgraduate,2,1,3,2,4,2,4,1,2,3,2,4,2,4,5,1,2,2
R375,18-25,Male,Postgraduate,3,3,5,1,4,2,3,2,1,2,2,3,1,3,5,4,1,5
R376,55+,Female,Postgraduate,3,2,4,4,2,4,2,3,3,1,1,5,2,5,4,3,4,4
R377,36-45,Male,Postgraduate,4,5,5,4,3,1,4,2,4,4,2,1,4,4,5,3,4,2
R378,36-45,Male,Postgraduate,1,5,4,1,4,3,5,4,1,3,1,3,5,1,5,2,3,5
R379,26-35,Male,Postgraduate,4,1,2,5,4,4,4,1,3,1,3,4,3,2,3,2,5,4
R380,26-35,Female,Secondary,2,4,2,5,2,2,1,4,3,1,3,3,1,5,5,2,4,3
R381,46-55,Male,Postgraduate,2,3,2,5,1,2,3,2,4,1,4,3,3,4,1,2,3,1
R382,46-55,Male,Postgraduate,3,3,1,1,2,5,2,1,5,4,4,3,2,3,3,2,4,2
R383,46-55,Male,Secondary,1,4,4,5,1,3,1,1,1,2,2,5,3,3,4,4,1,3
R384,55+,Male,Postgraduate,5,2,5,1,2,5,2,1,1,4,1,4,2,4,4,1,1,2
R385,26-35,Female,Tertiary,2,2,2,5,3,4,4,4,5,3,1,4,2,4,4,4,2,4
